fewsparameter;2130-EAG-1;2150-EAG-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PH;8.127380952;8.155952381;7.666666667;7.655555556;8.066666667;8.096752003;;8.248703704;;7.833333333;7.833333333;8.468740981;;7.841666667;7.95;7.983333333;;7.95;7.855555556;7.766666667;7.608333333;7.366666667;7.75;7.622222222;7.611111111;8.3;7.825;;;7.058333333;7.268055556;7.75;7.743941799;8.011111111;8.138888889;8.45;8.344900932;8.125054466;;7.688888889;8.108333333;7.205555556;7.877777778;7.821666667;;7.59;6.591666667;8.139583333;7.955555556;7.805555556;7.692063492;;7.888888889;7.416666667;7.402777778;7.6875;7.5;7.183333333;8.358333333;7.866666667;7.719444444;7.679166667;7.851767677;7.453333333;7.788888889;;7.85;;;;7.479365079;8.129761905;8.033333333;7.666666667;;7.871527778;7.817857143;7.35;7.7425;7.6;7.755555556;7.747857143;7.435555556;8.488888889;7.712777778;7.987777778;8.322222222;;7.330555556;8.033333333;7.416666667;7.211111111;7.555555556;8.12260101;7.641666667;7.633333333;7.733333333;7.916666667;7.405555556;7.75;7.7;7.483333333;7.472222222;7.417592593;8.179775828;8.216203704;7.9;7.616666667;8.002777778;7.883333333;;7.688888889;8.373919055;7.340740741;7.586111111;7.022222222;8.4;8.160784314;8.277777778;7.505555556;7.777777778;8.170479303;7.522222222;8.433333333;7.291666667;7.346623094;8.158333333;7.277777778;;;;7.870833333;8.002777778;7.6875;8.466666667;8.008377897;7.433333333;7.35;7.783333333;7.2;7.919444444;8.18587667;7.738888889;8;8.133333333;7.438888889;7.880681818;7.514285714;;7.833333333;7.916666667;8.222222222;;8.616666667;7.688888889;;;;;7.769444444;7.594444444;7.722222222;7.931481481;8.868253968;7.871428571;8.011111111;7.738888889;7.613888889;7.8;7.444444444;7.6;7.811111111;;;;;7.6;;7.7;8.205555556;8.627777778;7.406871345;8.227777778;7.455555556;7.559259259;7.88015873;6.936111111;7.95;7.6;7.616666667;7.541666667;7.116666667;8.429166667;8.216666667;8.075;7.694444444;7.955555556;7.1;7.695656566;7.677777778;7.65;7.566666667;;7.461111111;;7.15;7.35;7.35;7.636111111;;7.761111111;;7.666666667;7.4875;7.316666667;8.061111111;7.886111111;8.161111111;7.613888889;7.616666667;8.225;8.208333333;7.522222222;7.160416667;7.677777778;8.1;7.861111111;7.866666667;;7.374444444;7.8;7.838888889;7.922222222;7.968055556;7.875;7.911111111;8.321811473;7.882740741;7.855555556;8.038888889;7.822222222;7.566666667;7.983333333;7.883333333;7.783333333
PIRMCB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PO4;;0.3315;;;;0.006440741;;;;0.035333333;0.15;0.010349537;;0.01675;0.029416667;0.264916667;;;;;;;0.0185;;;;0.1025;;;0.189916667;0.483166667;;0.012714646;0.009693056;0.005666667;0.002791667;0.00440873;0.261388889;;;0.0616;;;;;0.047613542;0.0054;0.129369318;;;;;;0.347333333;0.017244048;0.012875;0.1445;0.041416667;0.002291667;0.007291667;0.005673611;0.19375;0.043922222;0.202522222;;;0.0525;;;;0.186377976;;;;;0.025982999;;;;;;0.002385417;0.248277778;0.001777778;0.006618056;0.005805556;0.005972222;;0.716111111;0.026166667;0.032666667;;0.112166667;0.006414352;;0.002756944;0.006361111;;0.086;0.0605;0.014;0.00125;0.021;0.021270833;0.003169444;0.003417824;;0.02225;0.007786458;;;;0.002180556;0.034902778;0.004618056;0.026388889;0.00125;0.001930556;0.001513889;0.002888889;0.001875;0.003777778;0.002819444;;0.006645833;0.010330065;0.005229167;;;;;0.028447917;0.040566468;0.014354167;0.001958333;0.008152778;0.061333333;0.050666667;;;0.001881944;0.002127778;0.0185;0.003708333;0.003708333;0.048333333;0.002186553;0.014714286;;;;0.00125;;0.0024375;;;;;;0.037222222;0.0485;0.068805556;0.087111111;0.012472222;0.128833333;0.071;0.523333333;0.25;0.03;;0.58;;;;;;;;;0.00225;0.003416667;0.029572917;0.068013889;;0.073833333;;0.103270833;0.145;0.9325;0.019666667;;0.6055;0.005887153;0.0796875;;0.0425;;0.506666667;0.05025;;;;;;;;;;0.031677083;;;;;0.1695;;;0.215472222;0.013291667;0.0160625;;;;0.003159722;0.143916667;0.254444444;0.32;;;;;0.44;;;;0.15;;0.382351421;1.525;;;;0.437333333;0.184833333;0.976666667;0.035541667
PPCNZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PPZAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PRFM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROMTNE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROPAZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROPCL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROPXR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSOCB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PYR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.023041667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PYRAZP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PYRCSBN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PYRFNX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PYRMETH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
REFINT0;;;;;;1069.988889;;;;;;1074.122222;;;;;;;;;;;;;;;;;;;;;;;823.0555556;674.8888889;589.6388889;;;;;;;;;;;;;;;;;;;;;;535.8333333;;;;;;;;;;;;;;;;;429;;;;;;1040.666667;;727.6666667;671.3666667;881.5555556;919.1111111;;;;;;;427.7777778;;947.6868687;1099.1;;;;;;;747.1777778;612.6;650.7037037;;;;;;;1256.183333;;;;1194.888889;1132.522222;1101.466667;446.1;490.0833333;718.7388889;;;;;799.4166667;;;;;1026.358333;585.1833333;;891.9333333;;;;;;531.1111111;874.4833333;;582.2777778;512.5;;1044.258333;;;;;539.3333333;;1058.566667;;;;;;;;;;;;;;;;;;;;;;;;;;594.3888889;591.3333333;;635;;;;;;;;;;594.6152778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;686.4482906;;;;;;;;
REFINT1;;;;;;1060.883333;;;;;;1105.544444;;;;;;;;;;;;;;;;;;;;;;;883.8888889;670.1666667;587.2805556;;;;;;;;;;;;;;;;;;;;;;518.1111111;;;;;;;;;;;;;;;;;489.5;;;;;;991.6111111;;734.5;662.8888889;863.7;897.3333333;;;;;;;427.7777778;;984.7575758;1108.4;;;;;;;743.0466667;587.2222222;643.9259259;;;;;;;1270.419444;;;;1132.911111;1133.083333;1169.866667;436.9666667;483.4166667;644.7777778;;;;;749.8833333;;;;;1028.429167;567.6194444;;898.0666667;;;;;;517.7777778;859.1666667;;587.1666667;569.5;;1061.625;;;;;517.0833333;;1050.025;;;;;;;;;;;;;;;;;;;;;;;;;;538.8333333;604.7222222;;674.9166667;;;;;;;;;;586.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;654.8260684;;;;;;;;
REFINT2;;;;;;1068.85;;;;;;1104.638889;;;;;;;;;;;;;;;;;;;;;;;786.4444444;725.0555556;575.8611111;;;;;;;;;;;;;;;;;;;;;;530.9166667;;;;;;;;;;;;;;;;;553;;;;;;1004.166667;;785.2222222;634.5;862.4444444;890.6111111;;;;;;;420.1666667;;994.1469697;1103.2;;;;;;;746.7244444;586.4722222;638.6481481;;;;;;;1261.925;;;;920.5166667;1178.072222;979.8777778;420.5666667;491.75;691.9888889;;;;;785.6333333;;;;;950.4958333;570.8305556;;892.8666667;;;;;;507.9444444;833.25;;539;535.6666667;;1018.916667;;;;;530.0833333;;1024.058333;;;;;;;;;;;;;;;;;;;;;;;;;;528.1111111;601.4444444;;601.65;;;;;;;;;;581.4986111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;654.2851282;;;;;;;;
REFINT3;;;;;;965.55;;;;;;1078.844444;;;;;;;;;;;;;;;;;;;;;;;784.1666667;739.2777778;553.3611111;;;;;;;;;;;;;;;;;;;;;;518.2222222;;;;;;;;;;;;;;;;;567;;;;;;1006.555556;;862.6555556;671.1111111;839.0555556;895.5555556;;;;;;;412.2777778;;989.2121212;1063.4;;;;;;;766.5222222;594.9333333;636.2037037;;;;;;;1288.594444;;;;1082.144444;1203.316667;1155.572222;445.0366667;520.3333333;690.05;;;;;812.8583333;;;;;1000.658333;577.3277778;;948.7583333;;;;;;513.5;824.5;;539.6111111;580.4166667;;1031.858333;;;;;556.4166667;;1006.516667;;;;;;;;;;;;;;;;;;;;;;;;;;515.0555556;599.6666667;;589.5222222;;;;;;;;;;582.6569444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;637.2192308;;;;;;;;
REFINT4;;;;;;976.0333333;;;;;;1134.888889;;;;;;;;;;;;;;;;;;;;;;;760.2222222;701.4444444;558.4833333;;;;;;;;;;;;;;;;;;;;;;525.3055556;;;;;;;;;;;;;;;;;562;;;;;;1046.766667;;789.8777778;654.7222222;865.2222222;919.8888889;;;;;;;414.5555556;;1050.247475;1082.7;;;;;;;736.9;555.1166667;622.1666667;;;;;;;1199.819444;;;;1096.105556;1206.377778;900.2166667;418.1;503.3333333;685.3833333;;;;;816.6333333;;;;;1002.391667;620.2055556;;890.9083333;;;;;;516.3888889;832.75;;576.2444444;570.5833333;;1040.2;;;;;519.5;;1001.166667;;;;;;;;;;;;;;;;;;;;;;;;;;515.2777778;607.2777778;;584.5833333;;;;;;;;;;573.7652778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;653.5497436;;;;;;;;
SE-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.353166667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SEBUYAZN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
simtn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SO4;143.375;93.5;47.5;27.5;137.75;35.6465812;;;;42.91666667;53.75;66.86805556;;36.16666667;61.81944444;52.75;;74.16666667;45.125;61.41666667;68.875;51.875;40.38888889;47.25;59;56;57.125;;;34.47916667;36.2;50.5;58.7962963;53.66666667;60.91666667;59.91666667;62.43333333;70.62878788;;29.83333333;50.875;30.5;192.4166667;51.625;;50.45192308;21.79166667;55.89583333;71.75;60.58333333;138.75;;174.1666667;61.16666667;53.79166667;31;41.83333333;23.60416667;48.45833333;47.08333333;43.3;50.8;53.34444444;47.28888889;33.25;;100;;;;45.43650794;53.5;76.125;59.5;;52.77995169;100.5833333;96.75;55.04166667;43.16666667;34;59.75;38.05555556;48.91666667;42.03333333;27.83333333;25.16666667;;20.49166667;12.33333333;4.947916667;34.83333333;78.88095238;63.11666667;65.33333333;43.91666667;42.41666667;42.5;49.5;61.5;60;47.08333333;4.111111111;11.17708333;28.5;21.49074074;;21.66666667;33.33333333;28.41666667;;21.08333333;30.55555556;7.348039216;10.16666667;17.44444444;21.25;19.83333333;19.16666667;15.66666667;15.16666667;18.16666667;14.86666667;53.875;3.798611111;1.25;4.6875;2.041666667;;;;7.296875;8.46875;8.9375;6.03125;8.5;5.166666667;25.66666667;33.25;6;14.30555556;13.28125;8.027777778;10.61111111;22.25;5.472222222;8.916666667;1.954365079;;47.58333333;26.41666667;42.08333333;;36.5;36.83333333;;;;;68.58333333;29.52777778;71.88888889;85.05555556;57.44444444;50.38888889;54.16666667;84.58333333;84.66666667;80;58.16666667;31;78.16666667;;;;;73.16666667;;37;24.75;24.58333333;24.33796296;21.41666667;45.75;24.5;59.41666667;11.6875;230;28.66666667;12.66666667;244;8.791666667;180.2380952;439.1666667;80;26.45833333;44.75;50.5;40.85740741;46.08333333;48.125;25.125;;51.91666667;;7.65625;36;82.75;76.96875;;59.5;;74;31.45;34.125;;46.80138889;45.11111111;16.44444444;;57.625;;22.08333333;23.41666667;42.44444444;160;77.55555556;40.83333333;;11.03571429;44;37.16666667;89.41666667;73.05555556;55;21.08333333;51.75362319;46.67777778;48.5;17.16666667;39.33333333;53.83333333;159.6666667;144.5;5.5
spinsnA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spinsnD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;17.91785714;17.87380952;15.03888889;16.73333333;16.7;14.51168582;;17.43055556;;17.26111111;17.38333333;13.67804233;;16.8;16.92592593;18.375;;18.34444444;17.18333333;17.23333333;17.10833333;16.325;18.67222222;17.68888889;16.46666667;19.9;17.1;;;15.6;16.10694444;17.525;15.89936508;16.75277778;16.98888889;16.30555556;14.28412005;14.57843137;;16.38333333;17.125;14.15555556;15.91111111;18.095;;16.86333333;17.16666667;13.85833333;14.87222222;15.12222222;14.34920635;;16.26111111;16.46666667;15.58888889;17.09166667;15.95;16.01666667;16.74444444;16.73888889;16.81111111;17.3875;16.73207071;16.99;19.18333333;;18.29166667;;;;17.13690476;18.06666667;18.4;16.96111111;;15.65016026;17.65238095;16.7;16.7525;14.79444444;16.22777778;17.51746032;15.46666667;16.68333333;15.21722222;16.08888889;16.53333333;;16.00555556;18.45;18.00416667;15.86666667;17.09814815;12.53005051;12.375;18.14166667;18.24444444;15.96111111;14.07222222;13;12.8;13.23888889;12.17222222;16.52037037;12.6877193;16.49305556;17.8;17.96111111;16.32731481;15.41111111;;14.42777778;17.24607843;15.69074074;16.57777778;14.65;17.65;17.70759804;17.07222222;16.14444444;16.36666667;16.81437908;16.51111111;16.03333333;15.17222222;15.92145969;18.34166667;15.05555556;;;;18.875;17.74444444;19.1875;18.15833333;17.58101604;17.28333333;17.11666667;17.04444444;13.4;16.00277778;14.63425689;16.51666667;16.25833333;16.76666667;15.76666667;18.8875;14.82460317;;15.21666667;15.63888889;16.60277778;;18.36666667;16.05;;;;;17.36666667;16.01111111;17.06666667;17.58703704;16.69047619;16.15555556;17.70555556;16.30277778;16.27777778;17.1;16.38888889;18.2;17.45;;;;;15.46111111;;15.94444444;15.48888889;15.25555556;15.35818713;15.7;16.01666667;15.08703704;15.9468254;16.83055556;21.05;16.41666667;17.88333333;16.16666667;15.81666667;12.49027778;17.55;17.53333333;15.80833333;16.95555556;15.21666667;16.66333333;17.08333333;16.85833333;17.175;;14.32222222;;14.54166667;15;15.63333333;16.95;;15.42222222;;16.99166667;17.0125;16.58541667;17.77222222;16.74537037;17.50555556;17.34722222;16.20833333;17.5;17.6;17.60833333;16.88125;15.64444444;12.7;15.41666667;15.22777778;;15.3237037;13.3;15.18333333;15.67222222;16.02638889;18.15;14.78333333;13.59310777;15.30577778;15.05277778;15.32777778;15.02777778;17.85;18.33333333;17.25;16.68333333
T4CVP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabdzl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TAZP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TBCNZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tfluoxsbn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TFLURLN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TFXSBN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TFyffnS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
